league_name,id,competition_id,full_name,first_name,last_name,known_as,shorthand,age,league,league_type,url,season,continent,starting_year,ending_year,birthday,nationality,appearances_overall,wins_home,wins_away,draws_overall,wins_per_home,wins_per_away,draws_per,btts_overall,btts_percentage,goals_overall,goals_home,goals_away,goals_per_match_overall,goals_per_match_home,goals_per_match_away,penalties_given_overall,penalties_given_home,penalties_given_away,penalties_given_per_match_overall,penalties_given_per_match_home,penalties_given_per_match_away,penalties_given_percentage_overall,penalties_given_percentage_home,penalties_given_percentage_away,cards_overall,cards_home,cards_away,cards_per_match_overall,cards_per_match_home,cards_per_match_away,over05_cards_overall,over15_cards_overall,over25_cards_overall,over35_cards_overall,over45_cards_overall,over55_cards_overall,over65_cards_overall,over05_cards_per_match_overall,over15_cards_per_match_overall,over25_cards_per_match_overall,over35_cards_per_match_overall,over45_cards_per_match_overall,over55_cards_per_match_overall,over65_cards_per_match_overall,over05_cards_percentage_overall,over15_cards_percentage_overall,over25_cards_percentage_overall,over35_cards_percentage_overall,over45_cards_percentage_overall,over55_cards_percentage_overall,over65_cards_percentage_overall,yellow_cards_overall,red_cards_overall,min_per_goal_overall,min_per_card_overall
J1 League,3183,13960,Takuto Okabe,Takuto,Okabe,Takuto Okabe,takuto-okabe,43,J1 League,Domestic League,https://footystats.org/referees/japan-r-takuto-okabe,2025,as,2025,2025,371952000,Japan,5,3,1,1,60,20,20,4,80,12,7,5,2.4,1.4,1,1,1,0,0.2,0.2,0,20,20,0,11,4,7,2.2,0.8,1.4,4,3,2,1,1,0,0,0.8,0.6,0.4,0.2,0.2,0,0,80,60,40,20,20,0,0,11,0,38,41
J1 League,4385,13960,Akihiko Ikeuchi,Akihiko,Ikeuchi,Akihiko Ikeuchi,akihiko-ikeuchi,0,J1 League,Domestic League,https://footystats.org/referees/japan-r-akihiko-ikeuchi,2025,as,2025,2025,0,Japan,11,5,2,4,45,18,36,4,36,27,19,8,2.45,1.73,0.73,4,4,0,0.36,0.36,0,36,36,0,20,9,11,1.82,0.82,1,8,6,4,2,0,0,0,0.73,0.55,0.36,0.18,0,0,0,73,55,36,18,0,0,0,20,0,37,50
J1 League,18069,13960,Shu Kawamata,Shu,Kawamata,Shu Kawamata,shu-kawamata,43,J1 League,Domestic League,https://footystats.org/referees/japan-r-shu-kawamata,2025,as,2025,2025,386208000,Japan,6,5,1,0,83,17,0,3,50,13,9,4,2.17,1.5,0.67,0,0,0,0,0,0,0,0,0,11,5,6,1.83,0.83,1,6,4,1,0,0,0,0,1,0.67,0.17,0,0,0,0,100,67,17,0,0,0,0,11,0,42,49
J1 League,18406,13960,Keigo Sendachi,Keigo,Sendachi,Keigo Sendachi,keigo-sendachi,0,J1 League,Domestic League,https://footystats.org/referees/japan-r-keigo-sendachi,2025,as,2025,2025,0,Japan,6,1,4,1,17,67,17,3,50,14,6,8,2.33,1,1.33,1,0,1,0.17,0,0.17,17,0,17,18,10,8,3,1.67,1.33,6,5,4,2,1,0,0,1,0.83,0.67,0.33,0.17,0,0,100,83,67,33,17,0,0,18,0,39,30
J1 League,18072,13960,Ryo Tanimoto,Ryo,Tanimoto,Ryo Tanimoto,ryo-tanimoto,0,J1 League,Domestic League,https://footystats.org/referees/japan-r-ryo-tanimoto,2025,as,2025,2025,0,Japan,10,6,2,2,60,20,20,4,40,22,13,9,2.2,1.3,0.9,2,1,1,0.2,0.1,0.1,20,10,10,17,9,8,1.7,0.9,0.8,9,4,2,1,1,0,0,0.9,0.4,0.2,0.1,0.1,0,0,90,40,20,10,10,0,0,17,0,41,53
J1 League,2213,13960,Nathan Verboomen,Nathan,Verboomen,Nathan Verboomen,nathan-verboomen,37,J1 League,Domestic League,https://footystats.org/referees/belgium-r-nathan-verboomen,2025,as,2025,2025,583200000,Belgium,4,1,2,1,25,50,25,1,25,7,3,4,1.75,0.75,1,0,0,0,0,0,0,0,0,0,13,7,6,3.25,1.75,1.5,4,3,3,2,1,0,0,1,0.75,0.75,0.5,0.25,0,0,100,75,75,50,25,0,0,13,0,51,28
J1 League,46272,13960,Yusuke Ohashi,Yusuke,Ohashi,Yusuke Ohashi,yusuke-ohashi,0,J1 League,Domestic League,https://footystats.org/referees/japan-r-yusuke-ohashi,2025,as,2025,2025,0,Japan,6,4,2,0,67,33,0,2,33,14,9,5,2.33,1.5,0.83,0,0,0,0,0,0,0,0,0,7,4,3,1.17,0.67,0.5,5,2,0,0,0,0,0,0.83,0.33,0,0,0,0,0,83,33,0,0,0,0,0,7,0,39,77
J1 League,49289,13960,Koki Nagamine,Koki,Nagamine,Koki Nagamine,koki-nagamine,33,J1 League,Domestic League,https://footystats.org/referees/japan-r-koki-nagamine,2025,as,2025,2025,688953600,Japan,7,3,3,1,43,43,14,3,43,15,7,8,2.14,1,1.14,2,1,1,0.29,0.14,0.14,28,14,14,16,9,7,2.29,1.29,1,7,5,4,0,0,0,0,1,0.71,0.57,0,0,0,0,100,71,56,0,0,0,0,16,0,42,39
J1 League,4440,13960,Yoshiro Imamura,Yoshiro,Imamura,Yoshiro Imamura,yoshiro-imamura,0,J1 League,Domestic League,https://footystats.org/referees/japan-r-yoshiro-imamura,2025,as,2025,2025,0,Japan,8,5,1,2,63,13,25,4,50,18,13,5,2.25,1.63,0.63,2,1,1,0.25,0.13,0.13,25,13,13,21,10,11,2.63,1.25,1.38,7,6,5,3,0,0,0,0.88,0.75,0.63,0.38,0,0,0,88,75,63,38,0,0,0,19,1,40,34
J1 League,4438,13960,Hayato Shimizu,Hayato,Shimizu,Hayato Shimizu,hayato-shimizu,41,J1 League,Domestic League,https://footystats.org/referees/japan-r-hayato-shimizu,2025,as,2025,2025,440121600,Japan,6,3,1,2,50,17,33,3,50,13,7,6,2.17,1.17,1,0,0,0,0,0,0,0,0,0,16,7,9,2.67,1.17,1.5,5,4,3,3,1,0,0,0.83,0.67,0.5,0.5,0.17,0,0,83,67,50,50,17,0,0,16,0,42,34
J1 League,49968,13960,Yoshimi Yamashita,Yoshimi,Yamashita,Yoshimi Yamashita,yoshimi-yamashita,39,J1 League,Domestic League,https://footystats.org/referees/japan-r-yoshimi-yamashita,2025,as,2025,2025,509241600,Japan,4,1,0,3,25,0,75,1,25,5,3,2,1.25,0.75,0.5,1,1,0,0.25,0.25,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0
J1 League,4299,13960,Ming Fu,Ming,Fu,Ming Fu,ming-fu,0,J1 League,Domestic League,https://footystats.org/referees/china-r-ming-fu,2025,as,2025,2025,0,China,1,0,0,1,0,0,100,1,100,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,100,100,0,0,0,0,0,2,0,23,45
J1 League,4794,13960,Hiroki Kasahara,Hiroki,Kasahara,Hiroki Kasahara,hiroki-kasahara,45,J1 League,Domestic League,https://footystats.org/referees/japan-r-hiroki-kasahara,2025,as,2025,2025,315532800,Japan,7,6,1,0,86,14,0,1,14,11,7,4,1.57,1,0.57,0,0,0,0,0,0,0,0,0,17,6,11,2.43,0.86,1.57,7,6,2,2,0,0,0,1,0.86,0.29,0.29,0,0,0,100,86,28,28,0,0,0,15,1,57,37
J1 League,4376,13960,Jumpei Iida,Jumpei,Iida,Jumpei Iida,jumpei-iida,44,J1 League,Domestic League,https://footystats.org/referees/japan-r-jumpei-iida,2025,as,2025,2025,366595200,Japan,7,4,2,1,56,28,14,4,56,22,12,10,3.14,1.71,1.43,1,0,1,0.14,0,0.14,14,0,14,17,6,11,2.43,0.86,1.57,6,5,3,3,0,0,0,0.86,0.71,0.43,0.43,0,0,0,86,71,43,43,0,0,0,17,0,29,37
J1 League,177,13960,Martin Petersen,Martin,Petersen,Martin Petersen,martin-petersen,40,J1 League,Domestic League,https://footystats.org/referees/germany-r-martin-petersen,2025,as,2025,2025,478396800,Germany,2,1,1,0,50,50,0,1,50,6,2,4,3,1,2,0,0,0,0,0,0,0,0,0,4,2,2,2,1,1,1,1,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,50,50,50,50,0,0,0,4,0,30,45
J1 League,210,13960,Florian Badstübner,Florian,Badstübner,Florian Badstübner,florian-badstubner,0,J1 League,Domestic League,https://footystats.org/referees/germany-r-florian-badstubner,2025,as,2025,2025,0,Germany,2,1,1,0,50,50,0,0,0,4,1,3,2,0.5,1.5,1,0,1,0.5,0,0.5,50,0,50,4,2,2,2,1,1,2,2,0,0,0,0,0,1,1,0,0,0,0,0,100,100,0,0,0,0,0,4,0,45,45
K League 1,12412,14069,Dong-Jun Lee,Dong-Jun,Lee,Dong-Jun Lee,dong-jun-lee,0,K League 1,Domestic League,https://footystats.org/referees/south-korea-r-dong-jun-lee,2025,as,2025,2025,0,South Korea,9,1,6,2,11,67,22,3,33,21,5,16,2.33,0.56,1.78,1,1,0,0.11,0.11,0,11,11,0,24,6,18,2.67,0.67,2,8,7,4,1,1,1,1,0.89,0.78,0.44,0.11,0.11,0.11,0.11,89,78,44,11,11,11,11,24,0,39,34
K League 1,12438,14069,Kwang-Ho Choi,Kwang-Ho,Choi,Kwang-Ho Choi,kwang-ho-choi,0,K League 1,Domestic League,https://footystats.org/referees/south-korea-r-kwang-ho-choi,2025,as,2025,2025,0,South Korea,4,2,1,1,50,25,25,1,25,7,4,3,1.75,1,0.75,1,0,1,0.25,0,0.25,25,0,25,10,6,4,2.5,1.5,1,4,2,2,1,1,0,0,1,0.5,0.5,0.25,0.25,0,0,100,50,50,25,25,0,0,8,1,51,36
K League 1,12423,14069,Byung-Jin Park,Byung-Jin,Park,Byung-Jin Park,byung-jin-park,0,K League 1,Domestic League,https://footystats.org/referees/south-korea-r-byung-jin-park,2025,as,2025,2025,0,South Korea,8,2,2,4,25,25,50,5,63,17,8,9,2.13,1,1.13,4,1,3,0.5,0.13,0.38,50,13,38,22,12,10,2.75,1.5,1.25,8,5,2,2,2,2,1,1,0.63,0.25,0.25,0.25,0.25,0.13,100,63,25,25,25,25,13,22,0,42,33
K League 1,12451,14069,Yong-Woo Kim,Yong-Woo,Kim,Yong-Woo Kim,yong-woo-kim,42,K League 1,Domestic League,https://footystats.org/referees/south-korea-r-yong-woo-kim,2025,as,2025,2025,418176000,South Korea,7,4,1,2,56,14,28,2,28,13,10,3,1.86,1.43,0.43,2,1,1,0.29,0.14,0.14,28,14,14,23,12,11,3.29,1.71,1.57,6,6,5,3,1,1,1,0.86,0.86,0.71,0.43,0.14,0.14,0.14,86,86,71,43,14,14,14,22,1,48,27
K League 1,39768,14069,Yong-Jun Shin,Yong-Jun,Shin,Yong-Jun Shin,yong-jun-shin,0,K League 1,Domestic League,https://footystats.org/referees/south-korea-r-yong-jun-shin,2025,as,2025,2025,0,South Korea,7,4,3,0,56,43,0,5,71,19,10,9,2.71,1.43,1.29,3,2,1,0.43,0.29,0.14,43,28,14,28,12,16,4,1.71,2.29,7,7,7,4,3,0,0,1,1,1,0.57,0.43,0,0,100,100,100,56,43,0,0,27,1,33,23
K League 1,38056,14069,Tae-Hwan Seol,Tae-Hwan,Seol,Tae-Hwan Seol,tae-hwan-seol,0,K League 1,Domestic League,https://footystats.org/referees/south-korea-r-tae-hwan-seol,2025,as,2025,2025,0,South Korea,8,3,4,1,38,50,13,3,38,20,9,11,2.5,1.13,1.38,1,1,0,0.13,0.13,0,13,13,0,19,6,13,2.38,0.75,1.63,7,6,3,3,0,0,0,0.88,0.75,0.38,0.38,0,0,0,88,75,38,38,0,0,0,19,0,36,38
K League 1,12409,14069,Woo-Sung Kim,Woo-Sung,Kim,Woo-Sung Kim,woo-sung-kim,0,K League 1,Domestic League,https://footystats.org/referees/south-korea-r-woo-sung-kim,2025,as,2025,2025,0,South Korea,7,3,3,1,43,43,14,4,56,18,10,8,2.57,1.43,1.14,1,1,0,0.14,0.14,0,14,14,0,38,18,20,5.43,2.57,2.86,7,7,7,5,4,3,3,1,1,1,0.71,0.57,0.43,0.43,100,100,100,71,56,43,43,35,2,35,17
K League 1,5798,14069,Hyung-Jin Ko,Hyung-Jin,Ko,Hyung-Jin Ko,hyung-jin-ko,0,K League 1,Domestic League,https://footystats.org/referees/south-korea-r-hyung-jin-ko,2025,as,2025,2025,0,South Korea,11,5,2,4,45,18,36,5,45,21,12,9,1.91,1.09,0.82,1,1,0,0.09,0.09,0,9,9,0,44,19,25,4,1.73,2.27,11,11,8,5,4,2,1,1,1,0.73,0.45,0.36,0.18,0.09,100,100,73,45,36,18,9,41,2,47,23
K League 1,59835,14069,Dae-Yong Kim,Dae-Yong,Kim,Dae-Yong Kim,dae-yong-kim,44,K League 1,Domestic League,https://footystats.org/referees/south-korea-r-dae-yong-kim,2025,as,2025,2025,361152000,South Korea,9,4,5,0,44,56,0,2,22,17,7,10,1.89,0.78,1.11,5,2,3,0.56,0.22,0.33,56,22,33,43,22,21,4.78,2.44,2.33,9,8,7,7,6,3,1,1,0.89,0.78,0.78,0.67,0.33,0.11,100,89,78,78,67,33,11,43,0,48,19
K League 1,38026,14069,Jong-Hyeok Kim,Jong-Hyeok,Kim,Jong-Hyeok Kim,jong-hyeok-kim,0,K League 1,Domestic League,https://footystats.org/referees/south-korea-r-jong-hyeok-kim,2025,as,2025,2025,0,South Korea,10,4,3,3,40,30,30,5,50,22,12,10,2.2,1.2,1,3,2,1,0.3,0.2,0.1,30,20,10,33,18,15,3.3,1.8,1.5,10,9,6,4,3,1,0,1,0.9,0.6,0.4,0.3,0.1,0,100,90,60,40,30,10,0,33,0,41,27
K League 1,12435,14069,Sang-Hyeop Chae,Sang-Hyeop,Chae,Sang-Hyeop Chae,sang-hyeop-chae,0,K League 1,Domestic League,https://footystats.org/referees/south-korea-r-sang-hyeop-chae,2025,as,2025,2025,0,South Korea,6,2,1,3,33,17,50,3,50,13,8,5,2.17,1.33,0.83,1,0,1,0.17,0,0.17,17,0,17,19,9,10,3.17,1.5,1.67,6,5,3,2,2,1,0,1,0.83,0.5,0.33,0.33,0.17,0,100,83,50,33,33,17,0,17,1,42,28
K League 1,12413,14069,Min-Seok Song,Min-Seok,Song,Min-Seok Song,min-seok-song,0,K League 1,Domestic League,https://footystats.org/referees/south-korea-r-min-seok-song,2025,as,2025,2025,0,South Korea,8,4,1,3,50,13,38,5,63,18,11,7,2.25,1.38,0.88,1,0,1,0.13,0,0.13,13,0,13,35,14,21,4.38,1.75,2.63,8,7,7,7,4,1,1,1,0.88,0.88,0.88,0.5,0.13,0.13,100,88,88,88,50,13,13,33,1,40,21
K League 1,70664,14069,Kwang-Ho Choi,Kwang-Ho,Choi,Kwang-Ho Choi,kwang-ho-choi,0,K League 1,Domestic League,https://footystats.org/referees/south-korea-r-kwang-ho-choi,2025,as,2025,2025,0,South Korea,2,0,1,1,0,50,50,2,100,8,3,5,4,1.5,2.5,0,0,0,0,0,0,0,0,0,5,1,4,2.5,0.5,2,2,2,1,0,0,0,0,1,1,0.5,0,0,0,0,100,100,50,0,0,0,0,5,0,23,36
K League 1,5794,14069,Hee-Gon Kim,Hee-Gon,Kim,Hee-Gon Kim,hee-gon-kim,0,K League 1,Domestic League,https://footystats.org/referees/south-korea-r-hee-gon-kim,2025,as,2025,2025,0,South Korea,1,1,0,0,100,0,0,1,100,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,100,100,0,0,0,0,0,2,0,30,45
Argentina Primera Division,23557,15746,Carlos Gariano,Carlos,Gariano,Carlos Gariano,carlos-gariano,0,Primera División,Domestic League,https://footystats.org/referees/argentina-r-carlos-gariano,2025,sa,2025,2025,0,Argentina,6,1,3,2,17,50,33,2,33,13,5,8,2.17,0.83,1.33,1,0,1,0.17,0,0.17,17,0,17,24,10,14,4,1.67,2.33,6,5,4,3,2,1,1,1,0.83,0.67,0.5,0.33,0.17,0.17,100,83,67,50,33,17,17,24,0,42,23
Argentina Primera Division,4054,15746,Pablo Echavarría,Pablo,Echavarría,Pablo Echavarría,pablo-echavarria,0,Primera División,Domestic League,https://footystats.org/referees/argentina-r-pablo-echavarria,2025,sa,2025,2025,0,Argentina,7,4,2,1,56,28,14,1,14,12,7,5,1.71,1,0.71,2,2,0,0.29,0.29,0,28,28,0,32,13,19,4.57,1.86,2.71,7,6,6,6,5,1,1,1,0.86,0.86,0.86,0.71,0.14,0.14,100,86,86,86,71,14,14,30,1,53,20
Argentina Primera Division,3967,15746,Pablo Dóvalo,Pablo,Dóvalo,Pablo Dóvalo,pablo-dovalo,0,Primera División,Domestic League,https://footystats.org/referees/argentina-r-pablo-dovalo,2025,sa,2025,2025,0,Argentina,3,2,1,0,67,33,0,0,0,7,6,1,2.33,2,0.33,0,0,0,0,0,0,0,0,0,9,5,4,3,1.67,1.33,2,2,2,2,1,0,0,0.67,0.67,0.67,0.67,0.33,0,0,67,67,67,67,33,0,0,9,0,39,30
Argentina Primera Division,3962,15746,Silvio Trucco,Silvio,Trucco,Silvio Trucco,silvio-trucco,0,Primera División,Domestic League,https://footystats.org/referees/argentina-r-silvio-trucco,2025,sa,2025,2025,0,Argentina,6,4,1,1,67,17,17,3,50,15,10,5,2.5,1.67,0.83,2,2,0,0.33,0.33,0,33,33,0,36,15,21,6,2.5,3.5,6,6,6,5,4,3,2,1,1,1,0.83,0.67,0.5,0.33,100,100,100,83,67,50,33,36,0,36,15
Argentina Primera Division,3975,15746,Andrés Merlos,Andrés,Merlos,Andrés Merlos,andres-merlos,0,Primera División,Domestic League,https://footystats.org/referees/argentina-r-andres-merlos,2025,sa,2025,2025,0,Argentina,5,2,3,0,40,60,0,2,40,13,6,7,2.6,1.2,1.4,1,1,0,0.2,0.2,0,20,20,0,21,10,11,4.2,2,2.2,4,4,4,3,3,1,1,0.8,0.8,0.8,0.6,0.6,0.2,0.2,80,80,80,60,60,20,20,20,1,35,21
Argentina Primera Division,3954,15746,Ariel Penel,Ariel,Penel,Ariel Penel,ariel-penel,0,Primera División,Domestic League,https://footystats.org/referees/argentina-r-ariel-penel,2025,sa,2025,2025,0,Argentina,5,1,1,3,20,20,60,1,20,8,5,3,1.6,1,0.6,0,0,0,0,0,0,0,0,0,17,7,10,3.4,1.4,2,5,5,3,2,2,0,0,1,1,0.6,0.4,0.4,0,0,100,100,60,40,40,0,0,17,0,56,26
Argentina Primera Division,4043,15746,Hernán Mastrángelo,Hernán,Mastrángelo,Hernán Mastrángelo,hernan-mastrangelo,0,Primera División,Domestic League,https://footystats.org/referees/argentina-r-hernan-mastrangelo,2025,sa,2025,2025,0,Argentina,6,3,2,1,50,33,17,3,50,15,8,7,2.5,1.33,1.17,1,0,1,0.17,0,0.17,17,0,17,25,10,15,4.17,1.67,2.5,6,6,5,3,3,2,0,1,1,0.83,0.5,0.5,0.33,0,100,100,83,50,50,33,0,25,0,36,22
Argentina Primera Division,3986,15746,Jorge Baliño,Jorge,Baliño,Jorge Baliño,jorge-balino,0,Primera División,Domestic League,https://footystats.org/referees/argentina-r-jorge-balino,2025,sa,2025,2025,0,Argentina,2,1,1,0,50,50,0,0,0,4,1,3,2,0.5,1.5,0,0,0,0,0,0,0,0,0,4,2,2,2,1,1,2,2,0,0,0,0,0,1,1,0,0,0,0,0,100,100,0,0,0,0,0,4,0,45,45
Argentina Primera Division,3982,15746,Darío Herrera,Darío,Herrera,Darío Herrera,dario-herrera,0,Primera División,Domestic League,https://footystats.org/referees/argentina-r-dario-herrera,2025,sa,2025,2025,0,Argentina,5,3,1,1,60,20,20,2,40,11,8,3,2.2,1.6,0.6,0,0,0,0,0,0,0,0,0,45,19,26,9,3.8,5.2,5,5,5,5,5,5,5,1,1,1,1,1,1,1,100,100,100,100,100,100,100,43,2,41,10
Argentina Primera Division,4003,15746,Fernando Echenique,Fernando,Echenique,Fernando Echenique,fernando-echenique,44,Primera División,Domestic League,https://footystats.org/referees/argentina-r-fernando-echenique,2025,sa,2025,2025,336528000,Argentina,5,2,2,1,40,40,20,2,40,9,5,4,1.8,1,0.8,0,0,0,0,0,0,0,0,0,24,14,10,4.8,2.8,2,5,5,5,4,4,1,0,1,1,1,0.8,0.8,0.2,0,100,100,100,80,80,20,0,24,0,50,19
Argentina Primera Division,4125,15746,Sebastían Zunino,Sebastían,Zunino,Sebastían Zunino,sebastian-zunino,0,Primera División,Domestic League,https://footystats.org/referees/argentina-r-sebastian-zunino,2025,sa,2025,2025,0,Argentina,4,3,0,1,75,0,25,3,75,11,8,3,2.75,2,0.75,0,0,0,0,0,0,0,0,0,11,5,6,2.75,1.25,1.5,4,4,3,0,0,0,0,1,1,0.75,0,0,0,0,100,100,75,0,0,0,0,11,0,33,33
Argentina Primera Division,3974,15746,Facundo Tello Figueroa,Facundo,Tello Figueroa,Facundo Tello Figueroa,facundo-tello-figueroa,0,Primera División,Domestic League,https://footystats.org/referees/argentina-r-facundo-tello-figueroa,2025,sa,2025,2025,0,Argentina,6,4,0,2,67,0,33,3,50,14,10,4,2.33,1.67,0.67,1,1,0,0.17,0.17,0,17,17,0,37,16,21,6.17,2.67,3.5,6,6,6,6,6,5,2,1,1,1,1,1,0.83,0.33,100,100,100,100,100,83,33,37,0,39,15
Argentina Primera Division,4023,15746,Juan Pafundi,Juan,Pafundi,Juan Pafundi,juan-pafundi,0,Primera División,Domestic League,https://footystats.org/referees/argentina-r-juan-pafundi,2025,sa,2025,2025,0,Argentina,2,1,0,1,50,0,50,1,50,3,2,1,1.5,1,0.5,0,0,0,0,0,0,0,0,0,10,1,9,5,0.5,4.5,2,2,2,2,1,1,0,1,1,1,1,0.5,0.5,0,100,100,100,100,50,50,0,8,1,60,18
